Name,API Name,Instance Memory,Compute Units (ECU),vCPUs,GPUs,GPU model,GPU memory,CUDA Compute Capability,FPGAs,ECU per vCPU,Physical Processor,Clock Speed(GHz),Intel AVX,Intel AVX2,Intel AVX-512,Intel Turbo,Instance Storage,Instance Storage: already warmed-up,Instance Storage: SSD TRIM Support,Arch,Network Performance,EBS Optimized: Max Bandwidth,EBS Optimized: Max Throughput (128K),EBS Optimized: Max IOPS (16K),EBS Exposed as NVMe,Max IPs,Max ENIs,Enhanced Networking,VPC Only,Placement Group Support,Linux Virtualization,On EMR,Linux On Demand,Linux Reserved cost,RHEL On Demand cost,RHEL Reserved cost,SLES On Demand cost,SLES Reserved cost,Windows On Demand cost,Windows Reserved cost,Windows SQL Web On Demand cost,Windows SQL Web Reserved cost,Windows SQL Std On Demand cost,Windows SQL Std Reserved cost,Windows SQL Ent On Demand cost,Windows SQL Ent Reserved cost,Linux SQL Web On Demand cost,Linux SQL Web Reserved cost,Linux SQL Std On Demand cost,Linux SQL Std Reserved cost,Linux SQL Ent On Demand cost,Linux SQL Ent Reserved cost,EMR cost
R5A Quadruple Extra Large,r5a.4xlarge,128 GiB,0 units,16 vCPUs,0,,0 GiB,0,0,0.0000 units,AMD EPYC 7571,2.5 GHz,unknown,unknown,unknown,unknown,EBS only,N/A,N/A,x86_64,Up to 10 Gigabit,2880 Mbps,360 MB/s,16000 IOPS,Yes,240,8,Yes,Yes,Yes,Unknown,Yes,$1.0880 hourly,$0.6850 hourly,$1.2610 hourly,$0.8580 hourly,$1.2130 hourly,$0.7450 hourly,$1.8240 hourly,$1.4210 hourly,$2.0940 hourly,$1.6920 hourly,$3.7440 hourly,$3.3410 hourly,$7.8240 hourly,$7.4210 hourly,$1.3580 hourly,$0.9560 hourly,$3.0080 hourly,$2.6050 hourly,$7.0880 hourly,$6.6850 hourly,$0.2260 hourly
C8GD Large,c8gd.large,4 GiB,0 units,2 vCPUs,0,,0 GiB,0,0,0.0000 units,AWS Graviton4 Processor,2.7 GHz,unknown,unknown,unknown,unknown,118 GB NVMe SSD,Yes,No,arm64,Up to 12.5 Gigabit,10000 Mbps,1250 MB/s,40000 IOPS,Yes,30,3,Yes,Yes,Yes,Unknown,No,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable
R4 High-Memory 16xlarge,r4.16xlarge,488 GiB,201 units,64 vCPUs,0,,0 GiB,0,0,3.1406 units,Intel Xeon E5-2686 v4 (Broadwell),2.3 GHz,Yes,Yes,unknown,Yes,EBS only,N/A,N/A,x86_64,25 Gigabit,14000 Mbps,1750 MB/s,75000 IOPS,No,750,15,Yes,Yes,Yes,Unknown,Yes,$5.1072 hourly,$3.2256 hourly,$5.8112 hourly,$3.9168 hourly,$5.2072 hourly,$3.2586 hourly,$8.0512 hourly,$6.1696 hourly,$9.1782 hourly,$7.2966 hourly,$15.7440 hourly,$13.8496 hourly,$32.0512 hourly,$30.1696 hourly,$6.2016 hourly,$4.3072 hourly,$12.8000 hourly,$10.9056 hourly,$29.1200 hourly,$27.2256 hourly,$0.2700 hourly
M5AD 24xlarge,m5ad.24xlarge,384 GiB,0 units,96 vCPUs,0,,0 GiB,0,0,0.0000 units,AMD EPYC 7571,2.5 GHz,unknown,unknown,unknown,unknown,3600 GB (4×900 GB NVMe SSD),Yes,No,x86_64,20 Gigabit,13750 Mbps,1718.75 MB/s,60000 IOPS,Yes,750,15,Yes,Yes,Yes,Unknown,Yes,$6.2400 hourly,$3.9310 hourly,$7.2770 hourly,$4.9680 hourly,$6.3650 hourly,$3.9910 hourly,$10.6560 hourly,$8.3470 hourly,$12.2780 hourly,$9.9700 hourly,$22.1760 hourly,$19.8670 hourly,$46.6560 hourly,$44.3470 hourly,$7.8620 hourly,$5.5540 hourly,$17.7600 hourly,$15.4510 hourly,$42.2400 hourly,$39.9310 hourly,$0.2700 hourly
M5DN Quadruple Extra Large,m5dn.4xlarge,64 GiB,0 units,16 vCPUs,0,,0 GiB,0,0,0.0000 units,Intel Xeon Platinum 8259 (Cascade Lake),3.1 GHz,unknown,unknown,unknown,unknown,600 GB (2×300 GB NVMe SSD),Yes,No,x86_64,Up to 25 Gigabit,4750 Mbps,593.75 MB/s,18750 IOPS,Yes,240,8,Yes,Yes,Yes,Unknown,Yes,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable
M7A Double Extra Large,m7a.2xlarge,32 GiB,0 units,8 vCPUs,0,,0 GiB,0,0,0.0000 units,AMD EPYC 9R14 Processor,Up to 3.7 GHz,unknown,unknown,unknown,unknown,EBS only,N/A,N/A,x86_64,Up to 12.5 Gigabit,10000 Mbps,1250 MB/s,40000 IOPS,Yes,60,4,Yes,Yes,Yes,Unknown,Yes,$0.5796 hourly,$0.3834 hourly,$0.6948 hourly,$0.4986 hourly,$0.7046 hourly,$0.4433 hourly,$0.9476 hourly,$0.7514 hourly,$1.0828 hourly,$0.8866 hourly,$1.9076 hourly,$1.7114 hourly,$3.9476 hourly,$3.7514 hourly,$0.7148 hourly,$0.5186 hourly,$1.5396 hourly,$1.3434 hourly,$3.5796 hourly,$3.3834 hourly,$0.1159 hourly
R6IN Double Extra Large,r6in.2xlarge,64 GiB,0 units,8 vCPUs,0,,0 GiB,0,0,0.0000 units,Intel Xeon 8375C (Ice Lake),3.5 GHz,Yes,Yes,Yes,Yes,EBS only,N/A,N/A,x86_64,Up to 40 Gigabit,25000 Mbps,3125 MB/s,100000 IOPS,Yes,60,4,Yes,Yes,Yes,Unknown,Yes,$0.8471 hourly,$0.5337 hourly,$1.1023 hourly,$0.7889 hourly,$0.9721 hourly,$0.5936 hourly,$1.2151 hourly,$0.9017 hourly,$1.3503 hourly,$1.0369 hourly,$2.1751 hourly,$1.8617 hourly,$4.2151 hourly,$3.9017 hourly,$0.9823 hourly,$0.6689 hourly,$1.8071 hourly,$1.4937 hourly,$3.8471 hourly,$3.5337 hourly,$0.1743 hourly
C5AD 24xlarge,c5ad.24xlarge,192 GiB,0 units,96 vCPUs,0,,0 GiB,0,0,0.0000 units,AMD EPYC 7R32,3.3 GHz,unknown,unknown,unknown,unknown,3800 GB (2×1900 GB NVMe SSD),Yes,No,x86_64,20 Gigabit,9500 Mbps,1187.5 MB/s,40000 IOPS,Yes,750,15,Yes,Yes,Yes,Unknown,Yes,$5.4240 hourly,$3.4170 hourly,$6.4610 hourly,$4.4540 hourly,$5.5490 hourly,$3.4770 hourly,$9.8400 hourly,$7.8330 hourly,$11.4620 hourly,$9.4560 hourly,$21.3600 hourly,$19.3530 hourly,$45.8400 hourly,$43.8330 hourly,$7.0460 hourly,$5.0400 hourly,$16.9440 hourly,$14.9370 hourly,$41.4240 hourly,$39.4170 hourly,$0.2700 hourly
C6ID 16xlarge,c6id.16xlarge,128 GiB,0 units,64 vCPUs,0,,0 GiB,0,0,0.0000 units,Intel Xeon 8375C (Ice Lake),3.5 GHz,Yes,Yes,Yes,Yes,3800 GB (2×1900 GB NVMe SSD),Yes,No,x86_64,25 Gigabit,20000 Mbps,2500 MB/s,80000 IOPS,Yes,750,15,Yes,Yes,Yes,Unknown,Yes,$4.2336 hourly,$2.6672 hourly,$4.9248 hourly,$3.3584 hourly,$4.3586 hourly,$2.7271 hourly,$7.1776 hourly,$5.6112 hourly,$8.2592 hourly,$6.6928 hourly,$14.8576 hourly,$13.2912 hourly,$31.1776 hourly,$29.6112 hourly,$5.3152 hourly,$3.7488 hourly,$11.9136 hourly,$10.3472 hourly,$28.2336 hourly,$26.6672 hourly,$0.8064 hourly
U-3TB1 56xlarge,u-3tb1.56xlarge,3072 GiB,0 units,224 vCPUs,0,,0 GiB,0,0,0.0000 units,Intel Xeon Scalable (Skylake),2.1 GHz,Yes,Yes,unknown,unknown,EBS only,N/A,N/A,x86_64,50 Gigabit,19000 Mbps,2375 MB/s,80000 IOPS,Yes,240,8,Yes,Yes,Yes,Unknown,No,$32.7150 hourly,$20.1605 hourly,$34.8654 hourly,$22.3109 hourly,$32.8400 hourly,$20.2204 hourly,$43.0190 hourly,$30.4645 hourly,$46.8046 hourly,$34.2501 hourly,$69.8990 hourly,$57.3445 hourly,$127.0190 hourly,$114.4645 hourly,$36.5006 hourly,$23.9461 hourly,$59.5950 hourly,$47.0405 hourly,$116.7150 hourly,$104.1605 hourly,unavailable
M5ZN 12xlarge,m5zn.12xlarge,192 GiB,0 units,48 vCPUs,0,,0 GiB,0,0,0.0000 units,Intel Xeon Platinum 8252,4.5 GHz,Yes,Yes,Yes,Yes,EBS only,N/A,N/A,x86_64,100 Gigabit,19000 Mbps,2375 MB/s,80000 IOPS,Yes,750,15,Yes,Yes,Yes,Unknown,Yes,$4.9560 hourly,$3.1122 hourly,$6.1464 hourly,$4.3026 hourly,$5.0810 hourly,$3.1722 hourly,$7.1640 hourly,$5.3202 hourly,$7.9752 hourly,$6.1314 hourly,$12.9240 hourly,$11.0802 hourly,$25.1640 hourly,$23.3202 hourly,$5.7672 hourly,$3.9234 hourly,$10.7160 hourly,$8.8722 hourly,$22.9560 hourly,$21.1122 hourly,$0.2700 hourly
M6G Extra Large,m6g.xlarge,16 GiB,0 units,4 vCPUs,0,,0 GiB,0,0,0.0000 units,AWS Graviton2 Processor,unknown,unknown,unknown,unknown,unknown,EBS only,N/A,N/A,arm64,Up to 10 Gigabit,4750 Mbps,593.75 MB/s,20000 IOPS,Yes,60,4,Yes,Yes,Yes,Unknown,Yes,$0.1920 hourly,$0.1210 hourly,$0.3196 hourly,$0.2486 hourly,$0.2483 hourly,$0.1710 hourly,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,$0.0390 hourly
G6 Graphics and Machine Learning GPU Double Extra Large,g6.2xlarge,32 GiB,0 units,8 vCPUs,1,NVIDIA L4,24 GiB,8.9,0,0.0000 units,AMD EPYC 7R13 Processor,2.6 GHz,unknown,unknown,unknown,unknown,450 GB NVMe SSD,Yes,No,x86_64,Up to 10 Gigabit,5000 Mbps,625 MB/s,20000 IOPS,Yes,60,4,Yes,Yes,Yes,Unknown,Yes,$1.2711 hourly,$0.8275 hourly,$1.3863 hourly,$0.9427 hourly,$1.3961 hourly,$0.8874 hourly,$1.6391 hourly,$1.1955 hourly,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,$0.2444 hourly
M7GD Metal,m7gd.metal,256 GiB,0 units,64 vCPUs,0,,0 GiB,0,0,0.0000 units,AWS Graviton3 Processor,2.5 GHz,unknown,unknown,unknown,unknown,3800 GB (2×1900 GB NVMe SSD),Yes,No,arm64,30 Gigabit,20000 Mbps,2500 MB/s,80000 IOPS,Yes,750,15,Yes,Yes,Yes,Unknown,No,$4.2941 hourly,$2.7053 hourly,$4.9853 hourly,$3.3965 hourly,$4.4191 hourly,$2.7652 hourly,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable
R8GD 24xlarge,r8gd.24xlarge,768 GiB,0 units,96 vCPUs,0,,0 GiB,0,0,0.0000 units,AWS Graviton4 Processor,2.7 GHz,unknown,unknown,unknown,unknown,5700 GB (3×1900 GB NVMe SSD),Yes,No,arm64,40 Gigabit,30000 Mbps,3750 MB/s,120000 IOPS,Yes,750,15,Yes,Yes,Yes,Unknown,No,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable
C5 High-CPU Quadruple Extra Large,c5d.4xlarge,32 GiB,73 units,16 vCPUs,0,,0 GiB,0,0,4.5625 units,Intel Xeon Platinum 8124M,3.4 GHz,Yes,Yes,Yes,Yes,400 GB NVMe SSD,Yes,No,x86_64,Up to 10 Gigabit,4750 Mbps,593.75 MB/s,20000 IOPS,Yes,240,8,Yes,Yes,Yes,Unknown,Yes,$1.0080 hourly,$0.6350 hourly,$1.4050 hourly,$1.0320 hourly,$1.1080 hourly,$0.6680 hourly,$1.7440 hourly,$1.3710 hourly,$2.0140 hourly,$1.6410 hourly,$3.6640 hourly,$3.2910 hourly,$7.7440 hourly,$7.3710 hourly,$1.2780 hourly,$0.9050 hourly,$2.9280 hourly,$2.5550 hourly,$7.0080 hourly,$6.6350 hourly,$0.1920 hourly
C8GD Metal-24xl,c8gd.metal-24xl,192 GiB,0 units,96 vCPUs,0,,0 GiB,0,0,0.0000 units,AWS Graviton4 Processor,2.7 GHz,unknown,unknown,unknown,unknown,5700 GB (3×1900 GB NVMe SSD),Yes,No,arm64,40 Gigabit,30000 Mbps,3750 MB/s,120000 IOPS,Yes,750,15,Yes,Yes,Yes,Unknown,No,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable
R7G Metal,r7g.metal,512 GiB,0 units,64 vCPUs,0,,0 GiB,0,0,0.0000 units,AWS Graviton3 Processor,2.5 GHz,unknown,unknown,unknown,unknown,EBS only,N/A,N/A,arm64,30 Gigabit,20000 Mbps,2500 MB/s,80000 IOPS,Yes,750,15,Yes,Yes,Yes,Unknown,No,$4.1075 hourly,$2.7141 hourly,$5.6947 hourly,$4.3013 hourly,$4.2325 hourly,$2.7740 hourly,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable
I4G Large,i4g.large,16 GiB,0 units,2 vCPUs,0,,0 GiB,0,0,0.0000 units,AWS Graviton2 Processor,2.5 GHz,unknown,unknown,unknown,unknown,468 GB NVMe SSD,Yes,No,arm64,Up to 10 Gigabit,10000 Mbps,1250 MB/s,40000 IOPS,Yes,30,3,Yes,Yes,Yes,Unknown,No,$0.1851 hourly,$0.1209 hourly,$0.2489 hourly,$0.1847 hourly,$0.2414 hourly,$0.1459 hourly,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable
M6IDN Quadruple Extra Large,m6idn.4xlarge,64 GiB,0 units,16 vCPUs,0,,0 GiB,0,0,0.0000 units,Intel Xeon 8375C (Ice Lake),3.5 GHz,Yes,Yes,Yes,Yes,950 GB NVMe SSD,Yes,No,x86_64,Up to 50 Gigabit,25000 Mbps,3125 MB/s,100000 IOPS,Yes,240,8,Yes,Yes,Yes,Unknown,Yes,$1.6099 hourly,$1.0143 hourly,$1.7827 hourly,$1.1870 hourly,$1.7349 hourly,$1.0741 hourly,$2.3459 hourly,$1.7503 hourly,$2.6163 hourly,$2.0206 hourly,$4.2659 hourly,$3.6702 hourly,$8.3459 hourly,$7.7503 hourly,$1.8803 hourly,$1.2847 hourly,$3.5299 hourly,$2.9343 hourly,$7.6099 hourly,$7.0142 hourly,$0.3182 hourly
M8G Metal-48xl,m8g.metal-48xl,768 GiB,0 units,192 vCPUs,0,,0 GiB,0,0,0.0000 units,AWS Graviton4 Processor,2.7 GHz,unknown,unknown,unknown,unknown,EBS only,N/A,N/A,arm64,50 Gigabit,40000 Mbps,5000 MB/s,240000 IOPS,Yes,750,15,Yes,Yes,Yes,Unknown,No,$10.7712 hourly,$7.1251 hourly,$14.6304 hourly,$10.9843 hourly,$10.8962 hourly,$7.1851 hourly,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable
M6IDN 12xlarge,m6idn.12xlarge,192 GiB,0 units,48 vCPUs,0,,0 GiB,0,0,0.0000 units,Intel Xeon 8375C (Ice Lake),3.5 GHz,Yes,Yes,Yes,Yes,2850 GB (2×1425 GB NVMe SSD),Yes,No,x86_64,75 Gigabit,37500 Mbps,4687.5 MB/s,150000 IOPS,Yes,240,8,Yes,Yes,Yes,Unknown,Yes,$4.8298 hourly,$3.0427 hourly,$6.0202 hourly,$4.2332 hourly,$4.9548 hourly,$3.1027 hourly,$7.0378 hourly,$5.2508 hourly,$7.8490 hourly,$6.0620 hourly,$12.7978 hourly,$11.0107 hourly,$25.0378 hourly,$23.2508 hourly,$5.6410 hourly,$3.8540 hourly,$10.5898 hourly,$8.8027 hourly,$22.8298 hourly,$21.0428 hourly,$0.9547 hourly
M6G Double Extra Large,m6g.2xlarge,32 GiB,0 units,8 vCPUs,0,,0 GiB,0,0,0.0000 units,AWS Graviton2 Processor,unknown,unknown,unknown,unknown,unknown,EBS only,N/A,N/A,arm64,Up to 10 Gigabit,4750 Mbps,593.75 MB/s,20000 IOPS,Yes,60,4,Yes,Yes,Yes,Unknown,Yes,$0.3840 hourly,$0.2419 hourly,$0.4992 hourly,$0.3571 hourly,$0.5090 hourly,$0.3019 hourly,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,$0.0770 hourly
C6I 32xlarge,c6i.32xlarge,256 GiB,0 units,128 vCPUs,0,,0 GiB,0,0,0.0000 units,Intel Xeon 8375C (Ice Lake),3.5 GHz,Yes,Yes,Yes,Yes,EBS only,N/A,N/A,x86_64,50 Gigabit,40000 Mbps,5000 MB/s,160000 IOPS,Yes,750,15,Yes,Yes,Yes,Unknown,Yes,$7.1040 hourly,$4.6906 hourly,$8.3328 hourly,$5.9194 hourly,$7.2290 hourly,$4.7506 hourly,$12.9920 hourly,$10.5786 hourly,$15.1552 hourly,$12.7418 hourly,$28.3520 hourly,$25.9386 hourly,$60.9920 hourly,$58.5786 hourly,$9.2672 hourly,$6.8538 hourly,$22.4640 hourly,$20.0506 hourly,$55.1040 hourly,$52.6906 hourly,$1.3600 hourly
T2 Double Extra Large,t2.2xlarge,32 GiB,0 units,8 vCPUs (4h 4.799999999999983m burst),0,,0 GiB,0,0,0.0000 units,Intel Xeon Family,Up to 3.3 GHz,Yes,unknown,unknown,Yes,EBS only,N/A,N/A,x86_64,Moderate,N/A,0 MB/s,0 IOPS,No,45,3,No,Yes,No,Unknown,No,$0.4672 hourly,$0.3140 hourly,$0.5824 hourly,$0.4292 hourly,$0.5672 hourly,$0.3470 hourly,$0.5292 hourly,$0.3760 hourly,$0.6702 hourly,$0.5170 hourly,unavailable,unavailable,$3.5292 hourly,$3.3760 hourly,$0.6024 hourly,$0.4492 hourly,unavailable,unavailable,$3.4672 hourly,$3.3140 hourly,unavailable
R6A 48xlarge,r6a.48xlarge,1536 GiB,0 units,192 vCPUs,0,,0 GiB,0,0,0.0000 units,AMD EPYC 7R13 Processor,3.6 GHz,unknown,unknown,unknown,unknown,EBS only,N/A,N/A,x86_64,50 Gigabit,40000 Mbps,5000 MB/s,240000 IOPS,Yes,750,15,Yes,Yes,Yes,Unknown,Yes,$13.0464 hourly,$8.6207 hourly,$16.9056 hourly,$12.4799 hourly,$13.1714 hourly,$8.6806 hourly,$21.8784 hourly,$17.4527 hourly,$25.1232 hourly,$20.6975 hourly,$44.9184 hourly,$40.4927 hourly,$93.8784 hourly,$89.4527 hourly,$16.2912 hourly,$11.8655 hourly,$36.0864 hourly,$31.6607 hourly,$85.0464 hourly,$80.6207 hourly,$2.7216 hourly
X1E Eight Extra Large,x1e.8xlarge,976 GiB,91 units,32 vCPUs,0,,0 GiB,0,0,2.8438 units,High Frequency Intel Xeon E7-8880 v3 (Haswell),2.3 GHz,Yes,Yes,unknown,unknown,960 GB SSD,Yes,No,x86_64,Up to 10 Gigabit,3500 Mbps,437.5 MB/s,20000 IOPS,No,60,4,Yes,Yes,Yes,Unknown,Yes,$9.6720 hourly,$5.9600 hourly,$10.4660 hourly,$6.7530 hourly,$9.7720 hourly,$5.9930 hourly,$11.1440 hourly,$7.4320 hourly,$11.6850 hourly,$7.9720 hourly,$14.9840 hourly,$11.2720 hourly,$23.1440 hourly,$19.4320 hourly,$10.2130 hourly,$6.5000 hourly,$13.5120 hourly,$9.8000 hourly,$21.6720 hourly,$17.9600 hourly,$1.6680 hourly
R5N Double Extra Large,r5n.2xlarge,64 GiB,0 units,8 vCPUs,0,,0 GiB,0,0,0.0000 units,Intel Xeon Platinum 8259 (Cascade Lake),2.5 GHz,Yes,Yes,Yes,Yes,EBS only,N/A,N/A,x86_64,Up to 25 Gigabit,4750 Mbps,593.75 MB/s,18750 IOPS,Yes,60,4,Yes,Yes,Yes,Unknown,Yes,$0.7240 hourly,$0.4560 hourly,$0.9790 hourly,$0.7110 hourly,$0.8490 hourly,$0.5160 hourly,$1.0920 hourly,$0.8240 hourly,$1.2270 hourly,$0.9590 hourly,$2.0520 hourly,$1.7840 hourly,$4.0920 hourly,$3.8240 hourly,$0.8590 hourly,$0.5910 hourly,$1.6840 hourly,$1.4160 hourly,$3.7240 hourly,$3.4560 hourly,$0.1490 hourly
I3 High I/O 16xlarge,i3.16xlarge,488 GiB,201 units,64 vCPUs,0,,0 GiB,0,0,3.1406 units,Intel Xeon E5-2686 v4 (Broadwell),2.3 GHz,Yes,Yes,unknown,Yes,15200 GB (8×1900 GB NVMe SSD),Yes,No,x86_64,25 Gigabit,14000 Mbps,1750 MB/s,65000 IOPS,No,750,15,Yes,Yes,Yes,Unknown,Yes,$5.9840 hourly,$4.0990 hourly,$7.5710 hourly,$5.6860 hourly,$6.0840 hourly,$4.1320 hourly,$8.9280 hourly,$7.0430 hourly,$10.0550 hourly,$8.1700 hourly,$16.6080 hourly,$14.7230 hourly,$32.9280 hourly,$31.0430 hourly,$7.0660 hourly,$5.1810 hourly,$13.6640 hourly,$11.7790 hourly,$29.9840 hourly,$28.0990 hourly,$0.2700 hourly
R5 Eight Extra Large,r5.8xlarge,256 GiB,128 units,32 vCPUs,0,,0 GiB,0,0,4.0000 units,Intel Xeon Platinum 8175,3.1 GHz,Yes,Yes,Yes,Yes,EBS only,N/A,N/A,x86_64,10 Gigabit,6800 Mbps,850 MB/s,30000 IOPS,Yes,240,8,Yes,Yes,Yes,Unknown,Yes,$2.4160 hourly,$1.5220 hourly,$2.7620 hourly,$1.8680 hourly,$2.5410 hourly,$1.5820 hourly,$3.8880 hourly,$2.9940 hourly,$4.4290 hourly,$3.5350 hourly,$7.7280 hourly,$6.8340 hourly,$15.8880 hourly,$14.9940 hourly,$2.9570 hourly,$2.0630 hourly,$6.2560 hourly,$5.3620 hourly,$14.4160 hourly,$13.5220 hourly,$0.2700 hourly
I3EN Metal,i3en.metal,768 GiB,0 units,96 vCPUs,0,,0 GiB,0,0,0.0000 units,Intel Xeon Platinum 8175,3.1 GHz,Yes,Yes,Yes,Yes,60000 GB (8×7500 GB NVMe SSD),Yes,No,x86_64,100 Gigabit,19000 Mbps,2375 MB/s,80000 IOPS,Yes,750,15,Yes,Yes,Yes,Unknown,No,$13.0080 hourly,$8.8950 hourly,$14.0450 hourly,$9.9320 hourly,$13.1330 hourly,$8.9550 hourly,$17.4240 hourly,$13.3110 hourly,$19.0460 hourly,$14.9340 hourly,$28.9440 hourly,$24.8310 hourly,$53.4240 hourly,$49.3110 hourly,$14.6300 hourly,$10.5180 hourly,$24.5280 hourly,$20.4150 hourly,$49.0080 hourly,$44.8950 hourly,unavailable
G4AD Extra Large,g4ad.xlarge,16 GiB,0 units,4 vCPUs,1,AMD Radeon Pro V520,8 GiB,0,0,0.0000 units,AMD EPYC 7R32,2.8 GHz,unknown,unknown,unknown,unknown,150 GB NVMe SSD,Yes,No,x86_64,Up to 10 Gigabit,3170 Mbps,396.25 MB/s,13333 IOPS,Yes,8,2,Yes,Yes,Yes,Unknown,No,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable
M6A 32xlarge,m6a.32xlarge,512 GiB,0 units,128 vCPUs,0,,0 GiB,0,0,0.0000 units,AMD EPYC 7R13 Processor,3.6 GHz,unknown,unknown,unknown,unknown,EBS only,N/A,N/A,x86_64,50 Gigabit,40000 Mbps,5000 MB/s,160000 IOPS,Yes,750,15,Yes,Yes,Yes,Unknown,Yes,$6.9120 hourly,$4.5723 hourly,$9.4848 hourly,$7.1451 hourly,$7.0370 hourly,$4.6322 hourly,$12.8000 hourly,$10.4603 hourly,$14.9632 hourly,$12.6235 hourly,$28.1600 hourly,$25.8203 hourly,$60.8000 hourly,$58.4603 hourly,$9.0752 hourly,$6.7355 hourly,$22.2720 hourly,$19.9323 hourly,$54.9120 hourly,$52.5723 hourly,$1.3824 hourly
R6I 12xlarge,r6i.12xlarge,384 GiB,0 units,48 vCPUs,0,,0 GiB,0,0,0.0000 units,Intel Xeon 8375C (Ice Lake),3.5 GHz,Yes,Yes,Yes,Yes,EBS only,N/A,N/A,x86_64,18.75 Gigabit,15000 Mbps,1875 MB/s,60000 IOPS,Yes,240,8,Yes,Yes,Yes,Unknown,Yes,$3.6240 hourly,$2.3946 hourly,$4.8144 hourly,$3.5850 hourly,$3.7490 hourly,$2.4546 hourly,$5.8320 hourly,$4.6026 hourly,$6.6432 hourly,$5.4138 hourly,$11.5920 hourly,$10.3626 hourly,$23.8320 hourly,$22.6026 hourly,$4.4352 hourly,$3.2058 hourly,$9.3840 hourly,$8.1546 hourly,$21.6240 hourly,$20.3946 hourly,$0.7560 hourly
R7IZ Double Extra Large,r7iz.2xlarge,64 GiB,0 units,8 vCPUs,0,,0 GiB,0,0,0.0000 units,Intel Xeon Scalable (Sapphire Rapids),3.9 GHz,Yes,Yes,Yes,Yes,EBS only,N/A,N/A,x86_64,Up to 12.5 Gigabit,10000 Mbps,1250 MB/s,40000 IOPS,Yes,60,4,Yes,Yes,Yes,Unknown,Yes,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable
I2 Eight Extra Large,i2.8xlarge,244 GiB,104 units,32 vCPUs,0,,0 GiB,0,0,3.2500 units,Intel Xeon E5-2670 v2 (Ivy Bridge),2.5 GHz,Yes,unknown,unknown,Yes,6400 GB (8×800 GB SSD),Yes,No,x86_64,10 Gigabit,N/A,0 MB/s,0 IOPS,No,240,8,No,No,Yes,Unknown,Yes,$8.1400 hourly,$4.8800 hourly,$8.9380 hourly,$5.1800 hourly,$8.2400 hourly,$4.9160 hourly,$9.3480 hourly,$6.5100 hourly,$10.3380 hourly,$6.6570 hourly,$17.0160 hourly,$8.8450 hourly,$21.6120 hourly,$18.3640 hourly,$8.6850 hourly,$4.9270 hourly,$11.9840 hourly,$8.2260 hourly,$20.1440 hourly,$16.3860 hourly,$0.2700 hourly
