Name,API Name,Instance Memory,Compute Units (ECU),vCPUs,GPUs,GPU model,GPU memory,CUDA Compute Capability,FPGAs,ECU per vCPU,Physical Processor,Clock Speed(GHz),Intel AVX,Intel AVX2,Intel AVX-512,Intel Turbo,Instance Storage,Instance Storage: already warmed-up,Instance Storage: SSD TRIM Support,Arch,Network Performance,EBS Optimized: Max Bandwidth,EBS Optimized: Max Throughput (128K),EBS Optimized: Max IOPS (16K),EBS Exposed as NVMe,Max IPs,Max ENIs,Enhanced Networking,VPC Only,Placement Group Support,Linux Virtualization,On EMR,Linux On Demand,Linux Reserved cost,RHEL On Demand cost,RHEL Reserved cost,SLES On Demand cost,SLES Reserved cost,Windows On Demand cost,Windows Reserved cost,Windows SQL Web On Demand cost,Windows SQL Web Reserved cost,Windows SQL Std On Demand cost,Windows SQL Std Reserved cost,Windows SQL Ent On Demand cost,Windows SQL Ent Reserved cost,Linux SQL Web On Demand cost,Linux SQL Web Reserved cost,Linux SQL Std On Demand cost,Linux SQL Std Reserved cost,Linux SQL Ent On Demand cost,Linux SQL Ent Reserved cost,EMR cost
C6I Extra Large,c6i.xlarge,8 GiB,0 units,4 vCPUs,0,,0 GiB,0,0,0.0000 units,Intel Xeon 8375C (Ice Lake),3.5 GHz,Yes,Yes,Yes,Yes,EBS only,N/A,N/A,x86_64,Up to 12.5 Gigabit,10000 Mbps,1250 MB/s,40000 IOPS,Yes,60,4,Yes,Yes,Yes,Unknown,Yes,$0.2220 hourly,$0.1466 hourly,$0.2796 hourly,$0.2042 hourly,$0.2783 hourly,$0.1966 hourly,$0.4060 hourly,$0.3306 hourly,$0.4736 hourly,$0.3982 hourly,$0.8860 hourly,$0.8106 hourly,$1.9060 hourly,$1.8306 hourly,$0.2896 hourly,$0.2142 hourly,$0.7020 hourly,$0.6266 hourly,$1.7220 hourly,$1.6466 hourly,$0.0425 hourly
C5 High-CPU Double Extra Large,c5.2xlarge,16 GiB,39 units,8 vCPUs,0,,0 GiB,0,0,4.8750 units,Intel Xeon Platinum 8124M,3.4 GHz,Yes,Yes,Yes,Yes,EBS only,N/A,N/A,x86_64,Up to 10 Gigabit,4750 Mbps,593.75 MB/s,20000 IOPS,Yes,60,4,Yes,Yes,Yes,Unknown,Yes,$0.4440 hourly,$0.2800 hourly,$0.5590 hourly,$0.3950 hourly,$0.5440 hourly,$0.3130 hourly,$0.8120 hourly,$0.6480 hourly,$0.9470 hourly,$0.7830 hourly,$1.7720 hourly,$1.6080 hourly,$3.8120 hourly,$3.6480 hourly,$0.5790 hourly,$0.4150 hourly,$1.4040 hourly,$1.2400 hourly,$3.4440 hourly,$3.2800 hourly,$0.0850 hourly
R6G 16xlarge,r6g.16xlarge,512 GiB,0 units,64 vCPUs,0,,0 GiB,0,0,0.0000 units,AWS Graviton2 Processor,2.5 GHz,unknown,unknown,unknown,unknown,EBS only,N/A,N/A,arm64,25 Gigabit,19000 Mbps,2375 MB/s,80000 IOPS,Yes,750,15,Yes,Yes,Yes,Unknown,Yes,$3.8656 hourly,$2.4353 hourly,$4.5568 hourly,$3.1265 hourly,$3.9906 hourly,$2.4953 hourly,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,$0.8064 hourly
T4G Medium,t4g.medium,4 GiB,0 units,2 vCPUs (4h 48m burst),0,,0 GiB,0,0,0.0000 units,AWS Graviton2 Processor,2.5 GHz,unknown,unknown,unknown,unknown,EBS only,N/A,N/A,arm64,Up to 5 Gigabit,2085 Mbps,260.625 MB/s,11800 IOPS,Yes,18,3,Yes,Yes,No,Unknown,No,$0.0424 hourly,$0.0267 hourly,$0.0712 hourly,$0.0555 hourly,$0.0987 hourly,$0.0517 hourly,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable
M5DN Double Extra Large,m5dn.2xlarge,32 GiB,0 units,8 vCPUs,0,,0 GiB,0,0,0.0000 units,Intel Xeon Platinum 8259 (Cascade Lake),3.1 GHz,unknown,unknown,unknown,unknown,300 GB NVMe SSD,Yes,No,x86_64,Up to 25 Gigabit,4750 Mbps,593.75 MB/s,18750 IOPS,Yes,60,4,Yes,Yes,Yes,Unknown,Yes,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable
R5A Large,r5a.large,16 GiB,0 units,2 vCPUs,0,,0 GiB,0,0,0.0000 units,AMD EPYC 7571,2.5 GHz,unknown,unknown,unknown,unknown,EBS only,N/A,N/A,x86_64,Up to 10 Gigabit,2880 Mbps,360 MB/s,16000 IOPS,Yes,30,3,Yes,Yes,Yes,Unknown,No,$0.1360 hourly,$0.0860 hourly,$0.1650 hourly,$0.1140 hourly,$0.1920 hourly,$0.1110 hourly,$0.2280 hourly,$0.1780 hourly,$0.2960 hourly,$0.2450 hourly,$0.7080 hourly,$0.6580 hourly,unavailable,unavailable,$0.2040 hourly,$0.1530 hourly,$0.6160 hourly,$0.5660 hourly,unavailable,unavailable,unavailable
R5B Eight Extra Large,r5b.8xlarge,256 GiB,0 units,32 vCPUs,0,,0 GiB,0,0,0.0000 units,Intel Xeon Platinum 8259 (Cascade Lake),3.1 GHz,Yes,Yes,Yes,Yes,EBS only,N/A,N/A,x86_64,10 Gigabit,20000 Mbps,2500 MB/s,86667 IOPS,Yes,240,8,Yes,Yes,Yes,Unknown,Yes,$2.8960 hourly,$1.8245 hourly,$3.2416 hourly,$2.1701 hourly,$3.0210 hourly,$1.8845 hourly,$4.3680 hourly,$3.2965 hourly,$4.9088 hourly,$3.8373 hourly,$8.2080 hourly,$7.1365 hourly,$16.3680 hourly,$15.2965 hourly,$3.4368 hourly,$2.3653 hourly,$6.7360 hourly,$5.6645 hourly,$14.8960 hourly,$13.8245 hourly,$0.2700 hourly
M6A 24xlarge,m6a.24xlarge,384 GiB,0 units,96 vCPUs,0,,0 GiB,0,0,0.0000 units,AMD EPYC 7R13 Processor,3.6 GHz,unknown,unknown,unknown,unknown,EBS only,N/A,N/A,x86_64,37.5 Gigabit,30000 Mbps,3750 MB/s,120000 IOPS,Yes,750,15,Yes,Yes,Yes,Unknown,Yes,$5.1840 hourly,$3.4292 hourly,$7.5648 hourly,$5.8100 hourly,$5.3090 hourly,$3.4891 hourly,$9.6000 hourly,$7.8452 hourly,$11.2224 hourly,$9.4676 hourly,$21.1200 hourly,$19.3652 hourly,$45.6000 hourly,$43.8452 hourly,$6.8064 hourly,$5.0516 hourly,$16.7040 hourly,$14.9492 hourly,$41.1840 hourly,$39.4292 hourly,$1.0368 hourly
C6ID Large,c6id.large,4 GiB,0 units,2 vCPUs,0,,0 GiB,0,0,0.0000 units,Intel Xeon 8375C (Ice Lake),3.5 GHz,Yes,Yes,Yes,Yes,118 GB NVMe SSD,Yes,No,x86_64,Up to 12.5 Gigabit,10000 Mbps,1250 MB/s,40000 IOPS,Yes,30,3,Yes,Yes,Yes,Unknown,No,$0.1323 hourly,$0.0833 hourly,$0.1961 hourly,$0.1472 hourly,$0.1886 hourly,$0.1084 hourly,$0.2243 hourly,$0.1754 hourly,$0.2919 hourly,$0.2429 hourly,$0.7043 hourly,$0.6553 hourly,unavailable,unavailable,$0.1999 hourly,$0.1510 hourly,$0.6123 hourly,$0.5634 hourly,unavailable,unavailable,unavailable
M6IN 32xlarge,m6in.32xlarge,512 GiB,0 units,128 vCPUs,0,,0 GiB,0,0,0.0000 units,Intel Xeon 8375C (Ice Lake),3.5 GHz,Yes,Yes,Yes,Yes,EBS only,N/A,N/A,x86_64,200 Gigabit,100000 Mbps,12500 MB/s,400000 IOPS,Yes,800,16,Yes,Yes,Yes,Unknown,Yes,$11.2320 hourly,$7.0762 hourly,$12.4608 hourly,$8.3050 hourly,$11.3570 hourly,$7.1361 hourly,$17.1200 hourly,$12.9642 hourly,$19.2832 hourly,$15.1274 hourly,$32.4800 hourly,$28.3242 hourly,$65.1200 hourly,$60.9642 hourly,$13.3952 hourly,$9.2394 hourly,$26.5920 hourly,$22.4362 hourly,$59.2320 hourly,$55.0762 hourly,$2.2277 hourly
